stockid,fao_area
ACMACKSARG,41
ARGANCHONARG,41
ARGANCHOSARG,41
ARGHAKENARG,41
ARGHAKESARG,41
PATGRENADIERSARG,41
PCEELARGS,41
SBWHITARGS,41
BGRDRNSWWA,57;81
BGRDRSE,57;81
BIGHTREDSE,57;81
BTSHRIMPNAUST,57;71
DEEPFLATHEADSE,57;81
GEMFISHSE,57;81
GTPRAWNNAUST,57;71
MORWONGESE,81
MORWONGSE,57;81
MORWONGWSE,57
MULLQNSW,71;81
NZLINGESE,57;81
NZLINGWSE,57
OROUGHYCASCADE,81
OROUGHYSE,57;81
PTOOTHFISHMI,81
REDFEAUS,57
RROCKLOBSTERSAUSNZ,57
RROCKLOBSTERSAUSSZ,57
SARDWSE,57
SILVERFISHSE,57;81
SNAPSAUSNSG,57
SNAPSAUSSGSV,57
SNAPSAUSSSG,57
SWHITSE,57;81
TASGIANTCRABTAS,57
TIGERFLATSE,57;81
WAREHOUESE,81
WAREHOUWSE,57
ACADRED2J3K,21
ACADRED3LNO-UT12,21
ACADREDUT3,21
AMPL23K,21
AMPL3Ps,21
AMPL4T,21
AMPL4VWX,21
ARCSURF4RST,21
ARCSURFBANQ,21
ARCSURFGB,21
ARCSURFQCW,21
ATHAL3NOPs4VWX5Zc,21
BIGSKA3CD,67
BIGSKA4B,67
BIGSKA5AB,67
BIGSKA5CDE,67
BOCACCBCW,67
BSKATCANATL,21
CAPE4RST,21
COD2J3KL,21
COD3Pn4RS,21
COD3Ps,21
COD4TVn,21
COD4VsW,21
COD4X,21
COD4X5Yb,21
CROCKWCVANISOGQCI,67
CSALMA1,2
CSALMA10,2
CSALMA11,2
CSALMA12,2
CSALMA13,2
CSALMA14,2
CSALMA15,2
CSALMA16,2
CSALMA17,2
CSALMA18,2
CSALMA19,2
CSALMA20,2
CSALMA22,2
CSALMA23,2
CSALMA24,2
CSALMA25,2
CSALMA26,2
CSALMA27,2
CSALMA29,2
CSALMA2E,2
CSALMA2W,2
CSALMA3,2
CSALMA4,2
CSALMA5,2
CSALMA6,2
CSALMA7,2
CSALMA8,2
CSALMA9,2
CSALMISCFPM,2
CUSK4X,21
ESOLEHS,67
EULAPCOASTCCDU,67
EULAPCOASTFRDU,67
EULAPCOASTNSDU,67
GHAL4RST,21
GURCH4RST,21
HAD4X5Y,21
HERR4RFA,21
HERR4RSP,21
HERR4S,21
HERR4TFA,21
HERR4TSP,21
HERR4VWX,21
HERRCC,67
HERRNFLDESC,21
HERRPRD,67
HERRQCI,67
HERRSOG,67
HERRWCVANI,67
LINGCODSOG,67
LNOSESKA3CD,67
LNOSESKA4B,67
LNOSESKA5AB,67
LNOSESKA5CDE,67
LOBSTERLFA15-18,21
LOBSTERLFA19-21,21
LOBSTERLFA22,21
LOBSTERLFA23-26AB,21
LOBSTERLFA27-33,21
LOBSTERLFA3-14,21
LOBSTERLFA34,21
LOBSTERLFA35-38,21
LOBSTERLFA41,21
MACKNWATLSA3-4,21
MONK2J3KLNOPs,21
MONK3LNOPs,21
PANDAL2G-3K,21
PANDAL4RST,21
PANDALICBC,67
PANDALSFA13-15,21
PANDALSFA2-3,21
PANDALSFA4,21
PANDALSFA5,21
PANDALSFA6,21
PANDALSMA14,67
PANDALSMA16,67
PANDALSMA18-19,67
PANDALSMAFR,67
PANDALSMAGTSE,67
PANDALSMAPRD,67
PCOD5AB,67
PCODHS,67
PCODWCVANI,67
PERCHQCI,67
PERCHWCVANI,67
POLL3Ps,21
POLL4VWX,21
POLL4VWX5,21
PORSHARATL,21
PSALMA1,2
PSALMA10,2
PSALMA12,2
PSALMA13,2
PSALMA21-27,2
PSALMA2E,2
PSALMA2W,2
PSALMA3,2
PSALMA4,2
PSALMA5,2
PSALMA6,2
PSALMA7,2
PSALMA8,2
PSALMA9,2
PSALMATNARKO,2
PSALMBONDS,2
PSALMBURR,2
PSALMBUTEI,2
PSALMBWLAB,2
PSALMCHV,2
PSALMGEOHOWE,2
PSALMHARR,2
PSALMHOMFROY,2
PSALMHOOKC,2
PSALMJERVISI,2
PSALMJOHNS,2
PSALMJOHNST,2
PSALMKINGCOME,2
PSALMKNIGHT,2
PSALMLOUGHB,2
PSALMMALAS,2
PSALMMFRASE,2
PSALMNKINGCOME,2
PSALMQUATR,2
PSALMSECHELT,2
PSALMSETONA,2
PSALMSKEENALR,2
PSALMSLIAMMON,2
PSALMSQUAMISH,2
PSALMSUNDC,2
PSALMSUTILC,2
PSALMTHOMPSON,2
PSALMTOBAI,2
PSALMVANCI,2
QROCKPCOASTIN,67
QROCKPCOASTOUT,67
REDDEEP2J3K-3LNO,21
REDDEEPUT12,21
REDFISHSPP23K,21
REDFISHSPP3Pn4RSTVn,21
ROCKCRABLFA23-26,21
ROCKCRABQCW,21
RSOLE5AB,67
RSOLEHSTR,67
SABLEFPCAN,67
SARDBC,67
SCALL3Ps,21
SCALL4T,21
SCALLGB,21
SCALLNBB,21
SCALLSFA16-20,21
SCALLSPA1-6,21
SCALLWSFA29,21
SDOG4VWX5,21
SHAKE4VWX,21
SMOOTHSKA2J3K,21
SMOOTHSKA4T,21
SNOWCRAB2HJ,21
SNOWCRAB2HJ3KLNOP4R,21
SNOWCRAB2J,21
SNOWCRAB3K,21
SNOWCRAB3LNO,21
SNOWCRAB3NO,21
SNOWCRAB3Ps,21
SNOWCRAB4R3Pn,21
SNOWCRABSCMA12-17,21
SNOWCRABSGSL,21
SSALMA1,2
SSALMA12,2
SSALMA13,2
SSALMA16,2
SSALMA28,2
SSALMA2E,2
SSALMA2W,2
SSALMA5,2
SSALMA6,2
SSALMA7,2
SSALMA8,2
SSALMADAMS,2
SSALMATNARKO,2
SSALMBARKS,2
SSALMBIRKENH,2
SSALMBOWRON,2
SSALMCAYENNE,2
SSALMCHILKO,2
SSALMCHILKOS,2
SSALMCHILLIW,2
SSALMCULTUS,2
SSALMFENNELL,2
SSALMGATES,2
SSALMGATESC,2
SSALMHARRISON,2
SSALMHORSEFLY,2
SSALMKIMSQUIT,2
SSALMKITLOPE,2
SSALMLLAKE,2
SSALMLSTUART,2
SSALMMITCHELL,2
SSALMNADINA,2
SSALMNADINAC,2
SSALMNAHANTLATCH,2
SSALMNASS,2
SSALMOWIKENOL,2
SSALMPITT,2
SSALMPORTAGE,2
SSALMRAFT,2
SSALMSCOTCH,2
SSALMSEYMOUR,2
SSALMSHUSWAP,2
SSALMSKEENA,2
SSALMSKIDEGATE,2
SSALMSTELLAKO,2
SSALMTASEKO,2
SSALMWEAVER,2
SSALMWEAVERC,2
SSALMYAKOUN,2
SSCLAMQCW,21
SSHRIMPSMAGTSE,67
SSHRIMPSMAPRD,67
SSSHRIMPICBC,67
SSSHRIMPSMA14,67
SSSHRIMPSMA16,67
SSSHRIMPSMA18-19,67
SSSHRIMPSMAFR,67
STRSHRIMPSFA2-3,21
TSKA4T,21
WHAKE4RS,21
WHAKE4T,21
WHAKE4VWX5,21
WINFLOUN4T,21
WITFLOUN3Ps,21
WITFLOUN4RST,21
WWHELKQCW,21
YEYEROCKPCOASTIN,67
BSQLOBSTERCH,87
BSQLOBSTERCSCH,87
BSQLOBSTERNCH,87
CHERRCHVX,87
CSARDCSCH,87
NSHRIMPCH,87
NSHRIMPCSCH,87
NSHRIMPNCH,87
PANCHCCH,87
PANCHCHVX,87
PANCHCSCH,87
PANCHNCH,87
PANCHNCHSP,87
PANCHSCH,87
PATGRENADIERCH,87
PCEELCH,87
PCEELCSCH,87
PCEELSCH,87
RSQLOBSTERCH,87
RSQLOBSTERCSCH,87
RSQLOBSTERNCH,87
SBWHITCH,87
SOUTHHAKECH,87
SPHAKECH,87
SSARDCH,87
YNOSESKACH,87
YNOSESKACSCH,87
YNOSESKASCH,87
ANCHOVYKILKACS,4
APOLLNEMS,61
APOLLNSJ,61
APOLLOKS,61
APOLLPJPN,61
APSHRIMPSOJ,61
ARGREENNEMS,61
ARGREENNHOKK,61
ARGREENSHOKK,61
ASCADECS,61
BMACKECS,61
BMACKPJPN,61
BRMSOJ,61
BSCRAPERSOJECS,61
BZCRABSOJ,61
CJOBOKWI,61
CMACKPJPN,61
CMACKTSST,61
CSALMHSCH,4
CSALMHSCW,4
CSALMJCCH,4
DSSMELTPAC,61
DSSMELTSOJ,61
FHFLOUNSOJ,61
FSNAPOKWI,61
HERRHOKK,61
HHTILEECS,61
JAMBERJPN,61
JANCHOPJPN,61
JANCHOSETO,61
JANCHOTSST,61
JCSQUIDJPNAR,61
JCSQUIDJPNWR,61
JMACKPJPN,61
JMACKTSST,61
JPUFFIMKB,61
JPUFFSOJECSSI,61
JSNAPOKWI,61
KCROCKNPAC,61
KCROCKOKS,61
KCROCKSWHOKK,61
LCODLINGPAC,61
LHAIRTSOJECS,61
LJOBOKWI,61
OFLOUNECS,61
OFLOUNNSJ,61
OFLOUNPAC,61
OFLOUNSETO,61
PCODHOKK,61
PCODNPAC,61
PCODSOJ,61
PHFLOUNNHOKK,61
PHFLOUNSOJ,61
PILCHPJPN,61
PILCHTSST,61
PSALMHSPH,4
PSALMHSPW,4
PSALMJCPH,4
PSALMJCPW,4
PSANDLIMKB,61
PSLANCESYS,61
RBRMECS,61
RBRMSETOE,61
RBRMSETOW,61
RHERRPAC,61
RHERRTSST,61
RSFLOUNSOJ,61
RSSOLENPAC,61
SAURNWPAC,61
SHAKOIMKB,61
SNOWCRABESJ,61
SNOWCRABHOKK,61
SNOWCRABNPAC,61
SNOWCRABOKS,61
SNOWCRABWSJ,61
SPANMACKECS,61
SPANMACKSETO,61
SPSQUIDPAC,61
SPSQUIDTSSTWC,61
SSALMHSSH,4
SSALMHSSW,4
SSANDNSJ,61
SSANDWSJ,61
STSQUIDSOJECS,61
WLFLOUNNPAC,61
WSCONGIMKB,61
YGSFISHNPAC,61
YSFLOUNNHOKK,61
YSFLOUNSOJ,61
AFLONCH,87
ALBAIO,51;57
ALBAMED,37
ALBANATL,21;27;31;34
ALBASATL,34;41;47
ALBASPAC,71;77;81;87
AMPL3LNO,21
AMPL3M,21
ANCHIXa,27
ANCHMEDGSA1,37
ANCHMEDGSA16,37
ANCHMEDGSA17,37
ANCHMEDGSA17-18,37
ANCHMEDGSA19,37
ANCHMEDGSA20,37
ANCHMEDGSA22,37
ANCHMEDGSA29,37
ANCHMEDGSA6,37
ANCHMEDGSA7,37
ANCHMEDGSA9,37
ANCHOBAYB,27
ANCHOWA,34
ANGLMEDGSA15-16,37
ANGLMEDGSA5,37
ANGLMEDGSA6,37
ANGLMEDGSA7,37
ANGLVIIIc-IXa,27
ANGLVII-VIIIabd,27
ASHARNEATL,27
ATBTUNAEATL,27;37;34;47
ATBTUNAWATL,21;31;41
ATOOTHFISHRS,88
BCROAKWASG1,34
BERYXSPPNEATL,27
BGRUNTWASG2,34
BGRUNTWASG3,34;47
BHAKEWASG3,34;47
BIGEYEATL,21;27;31;34;41;47
BIGEYECWPAC,61;67;71;77;81
BIGEYEEPAC,67;77;81;87
BIGEYEIO,51;57
BJMACKXa2,27;34
BKSFNEATL,27
BLINGI-II-IIIa-IVa-VIII-IX-XII,27
BLINGVa-XIV,27
BLINGVb-VI-VII,27
BLKMARLINIO,51;57
BLRAYIVa-VI,27
BLRAYIVc-VIId,27
BLRAYIXa,27
BLRAYVIIafg,27
BLRAYVIIe,27
BMARLINATL,21;27;31;34;41;47
BMARLINIO,51;57
BMDOGVIII-IXa,27
BMDOGVI-VII,27
BOARVI-VIII,27
BONGAWA,34
BRILL2232,27
BRILLIIIa-IV-VIId,27
BRMSPPWASG1,34
BRMSPPWASG2,34
BRMSPPWASG3,34;47
BSKSHARNEATL,27
BWHITMEDGSA1,37
BWHITMEDGSA6,37
BWHITMEDGSA9,37
BWHITNEA,27
CAPEIIa-V-XIV,27
CAPENOR,27
CATWASG1,34
CATWASG3,34;47
CHMACKWA,34
CHTRACCH,87
CKRAYIIIa-IV,27
CKRAYIXa,27
CKRAYVIIIc,27
CKRAYVI-VII,27
CMACKWA,34
COD1abdce,21
COD1f-XIV,21;27
COD1IN,21
COD3M,21
COD3NO,21
COD5Zjm,21
CODBA2224,27
CODBA2532,27
CODFABNK,27
CODFAPL,27
CODICE,27
CODIIIaW-IV-VIId,27
CODIS,27
CODKAT,27
CODNEAR,27
CODNEARNCW,27
CODVIa,27
CODVIb,27
CODVIIek,27
CPANDMEDGSA15-16,37
CPANDMEDGSA9,37
CROAKSPPWASG1,34
CROAKSPPWASG2,34
CROAKSPPWASG3,34;47
CSHRIMPWA,34
CUSKI-II,27
CUSKNEATL,27
CUSKVa-XIV,27
CUSKVIb,27
CUSKXII,27
CUTTLEWA,34
DAB2232,27
DABIIIa-IV,27
DRSHRIMPWA,34
EBASSGSA7,37
EBASSIVbc-VII,27
EBASSVIa-VIIb-j,27
EBASSVIIIab,27
EBASSVIIIc-IXa,27
EFLOUN2223,27
EFLOUN2425,27
EFLOUN26-28,27
EFLOUN27-2932,27
EFLOUNIIIa-IV,27
EPOLLIV-IIIa,27
EPOLLVIII-IXa,27
FMEG8c9a,27
FSCADWA,34
GFORKBMEDGSA9,37
GFORKNEATL,27
GGRUNTWASG1,34
GGRUNTWASG3,34;47
GGURNIIIa-IV-VIId,27
GHAL01ABCDEF,21
GHAL23KLMNO,21
GHALNEAR,27
GHALV-VI-XII-XIV,27
GHBRMGSA7,37
GOLDREDNEAR,27
GOLDREDV-VI-XII-XIV,27
GRSHRIMPMEDGSA10,37
GRSHRIMPMEDGSA11,37
GRSHRIMPMEDGSA12-16,37
GRSHRIMPMEDGSA18-19,37
GRSHRIMPMEDGSA9,37
GSSMELTI-II-IIIa-IV,27
GSSMELTVa-XIV,27
GSSMELTVb-VIa,27
GSSMELTVIb-VII-VIII-IX-X-XII,27
HAD3LNO,21
HADFAPL,27
HADICE,27
HADIS,27
HADNEAR,27
HADNS-IIIa,27
HADNS-IIIa-VIa,27
HADROCK,27
HADVIa,27
HADVIIb-k,27
HAKEMEDGSA15-16,37
HAKEMEDGSA1-7,37
HAKEMEDGSA17-18,37
HAKEMEDGSA19,37
HAKEMEDGSA20,37
HAKEMEDGSA22-23,37
HAKEMEDGSA7,37
HAKEMEDGSA9-11,37
HAKENRTN,27
HAKESOTH,27
HERR2224IIIa,27
HERR2529-32,27
HERR2532,27
HERR30,27
HERR30-31,27
HERR31,27
HERRIsum,27
HERRNIRS,27
HERRNORSS,27
HERRNS-IIIa-VIId,27
HERRRIGA,27
HERRSIRS,27
HERRVIa,27
HERRVIaVIIbc,27
HMACKIIa-IVa-Vb-VIa-VII-VIII,27
HMACKIIIa-IVbc-VIId,27
HMACKIXa,27
HMACKWA,34
KFSHARNEATL,27
LDENTWASG3,34;47
LGSHARNEATL,27
LINGI-II,27
LINGNEATL,27
LINGVa,27
LINGVb,27
LSDOGIIIa-IV-VIId,27
LSDOGVIIIabd,27
LSDOGVIIIc-IXa,27
LSDOGVI-VIIabcefghij,27
LSOLEIIIa-IV-VIId,27
MACKNEICES,27
MEG8c9a,27
MEGSPPIVa-VIa,27
MEGSPPVIb,27
MEGVII-VIIIabd,27
MHMACKMEDGSA29,37
NEPHFU10,27
NEPHFU11,27
NEPHFU12,27
NEPHFU13,27
NEPHFU14,27
NEPHFU15,27
NEPHFU16,27
NEPHFU17,27
NEPHFU19,27
NEPHFU2021,27
NEPHFU22,27
NEPHFU25,27
NEPHFU2627,27
NEPHFU2829,27
NEPHFU30,27
NEPHFU31,27
NEPHFU32,27
NEPHFU33,27
NEPHFU34,27
NEPHFU3-4,27
NEPHFU5,27
NEPHFU6,27
NEPHFU7,27
NEPHFU8,27
NEPHFU9,27
NEPHIV,27
NEPHMEDGSA1,37
NEPHMEDGSA11,37
NEPHMEDGSA15-16,37
NEPHMEDGSA17,37
NEPHMEDGSA17-18,37
NEPHMEDGSA18,37
NEPHMEDGSA5,37
NEPHMEDGSA6,37
NEPHMEDGSA9,37
NEPHVIa,27
NEPHVII,27
NEPHVIIIab,27
NPOUTIIIa-IV,27
NPOUTVIa,27
OCTOWA,34
OROUGHYCH,87
OROUGHYNEATL,27
PANDALI-II,27
PANDALIIIaW-IVaE,27
PANDALIVa,27
PHALNPAC,61;67
PICAMEDGSA25,37
PLAIC2123,27
PLAIC2432,27
PLAIC7d,27
PLAICCELT,27
PLAICECHW,27
PLAICIIIa,27
PLAICIS,27
PLAICNS,27
PLAICVIIbc,27
PLAICVIIh-k,27
PLAICVIII-IXa,27
POLLFAPL,27
POLLIEG,27
POLLNEAR,27
POLLNS-VI-IIIa,27
PORSHARNEATL,27
PRCODMEDGSA9,37
PSHRMPMEDGSA6,37
PTOOTHFISHCH,41;87
RBRMIX,27
RBRMMEDGSA1-3,37
RBRMVI-VII-VIII,27
RBRMX,27;34
RDSHRMPMEDGSA1,37
RDSHRMPMEDGSA10,37
RDSHRMPMEDGSA15-16,37
RDSHRMPMEDGSA6,37
REDDEEPDP-1-2-V-XII-XIV,21;27
REDDEEPI-II,27
REDDEEPSH1-2-V-XII-XIV,21;27
REDDEEPVa-XIV,27
REDDEEPXIVb,27
REDFISHSPP1,21
REDFISHSPP3LN,21
REDFISHSPP3M,21
RGURNNEATL,27
RHGRENNEATL,27
RMULLMEDGSA1,37
RMULLMEDGSA10,37
RMULLMEDGSA11,37
RMULLMEDGSA15-16,37
RMULLMEDGSA17-18,37
